query,true_fish,cam,image_rank1,image_ap,identity_rank1,identity_ap,image_top1_fish,image_top1_score,image_top1_source,image_top2_fish,image_top2_score,image_top2_source,image_top3_fish,image_top3_score,image_top3_source,image_top4_fish,image_top4_score,image_top4_source,image_top5_fish,image_top5_score,image_top5_source,identity_top1_fish,identity_top1_score,identity_top1_source,identity_top2_fish,identity_top2_score,identity_top2_source,identity_top3_fish,identity_top3_score,identity_top3_source,identity_top4_fish,identity_top4_score,identity_top4_source,identity_top5_fish,identity_top5_score,identity_top5_source
0001_c1s1_0001.png,0001,c1,0.0,0.096300,0.0,0.125000,0008,0.558627,0008_c1s1_0004.jpg,0007,0.543710,0007_c1s1_0005.png,0017,0.529322,0017_c2s1_0006.jpg,0016,0.523022,0016_c1s1_0005.png,0019,0.497746,0019_c2s1_0008.jpg,0017,0.511142,0017,0007,0.504406,0007,0008,0.503863,0008,0016,0.493488,0016,0019,0.485177,0019
0001_c1s1_0002.png,0001,c1,0.0,0.068374,0.0,0.076923,0008,0.619890,0008_c1s1_0005.jpg,0017,0.616939,0017_c1s1_0001.png,0007,0.599186,0007_c2s1_0007.png,0024,0.557431,0024_c2s1_0007.png,0005,0.551561,0005_c1s1_0002.png,0017,0.597189,0017,0007,0.591254,0007,0008,0.582648,0008,0019,0.511711,0019,0018,0.505196,0018
0001_c2s1_0003.png,0001,c2,0.0,0.039088,0.0,0.047619,0023,0.412433,0023_c1s1_0003.png,0008,0.387852,0008_c1s1_0001.jpg,0011,0.331721,0011_c2s1_0006.png,0012,0.297243,0012_c2s1_0006.png,0009,0.283920,0009_c1s1_0002.png,0023,0.336349,0023,0011,0.331721,0011,0008,0.244413,0008,0009,0.234571,0009,0018,0.161862,0018
0001_c2s1_0004.png,0001,c2,0.0,0.042553,0.0,0.058824,0008,0.459818,0008_c1s1_0001.jpg,0023,0.442572,0023_c1s1_0001.png,0011,0.374398,0011_c1s1_0001.png,0018,0.343480,0018_c1s1_0002.png,0012,0.343087,0012_c2s1_0007.png,0011,0.364910,0011,0008,0.340039,0008,0023,0.339317,0023,0018,0.277586,0018,0009,0.257292,0009
0001_c2s1_0005.png,0001,c2,0.0,0.045265,0.0,0.058824,0008,0.479955,0008_c1s1_0001.jpg,0011,0.425111,0011_c2s1_0006.png,0023,0.403086,0023_c1s1_0001.png,0018,0.351421,0018_c1s1_0002.png,0012,0.335122,0012_c2s1_0006.png,0011,0.425111,0011,0008,0.351453,0008,0023,0.347546,0023,0009,0.301317,0009,0018,0.294617,0018
0001_c2s1_0006.png,0001,c2,0.0,0.043487,0.0,0.062500,0008,0.487942,0008_c1s1_0001.jpg,0011,0.460155,0011_c2s1_0006.png,0023,0.424547,0023_c1s1_0001.png,0009,0.389800,0009_c1s1_0002.png,0018,0.371601,0018_c1s1_0002.png,0011,0.460155,0011,0023,0.385455,0023,0009,0.372388,0009,0008,0.357369,0008,0019,0.317272,0019
0001_c2s1_0007.png,0001,c2,0.0,0.043128,0.0,0.058824,0008,0.395644,0008_c1s1_0001.jpg,0023,0.363323,0023_c1s1_0001.png,0012,0.284286,0012_c2s1_0007.png,0011,0.282057,0011_c2s1_0006.png,0018,0.253947,0018_c1s1_0002.png,0023,0.286640,0023,0011,0.282057,0011,0008,0.274571,0008,0018,0.201776,0018,0009,0.192517,0009
0001_c2s1_0008.png,0001,c2,0.0,0.041095,0.0,0.052632,0008,0.393557,0008_c1s1_0001.jpg,0023,0.386720,0023_c1s1_0003.png,0012,0.341188,0012_c2s1_0007.png,0011,0.315407,0011_c2s1_0006.png,0018,0.266967,0018_c1s1_0002.png,0023,0.316123,0023,0011,0.315407,0011,0008,0.263479,0008,0009,0.198117,0009,0018,0.195962,0018
0001_c2s1_0009.png,0001,c2,0.0,0.049740,0.0,0.066667,0008,0.438419,0008_c1s1_0001.jpg,0023,0.332554,0023_c1s1_0003.png,0011,0.315404,0011_c2s1_0006.png,0007,0.302340,0007_c1s1_0005.png,0017,0.292728,0017_c2s1_0006.jpg,0011,0.315404,0011,0008,0.308304,0008,0023,0.260058,0023,0019,0.254635,0019,0017,0.239024,0017
0001_c2s1_0010.png,0001,c2,0.0,0.044263,0.0,0.062500,0008,0.408052,0008_c1s1_0001.jpg,0023,0.343043,0023_c1s1_0001.png,0011,0.302390,0011_c2s1_0006.png,0012,0.273025,0012_c2s1_0007.png,0003,0.272466,0003_c1s1_0003.png,0011,0.302390,0011,0023,0.281606,0023,0008,0.274841,0008,0009,0.220720,0009,0019,0.207475,0019
0001_c2s1_0011.png,0001,c2,0.0,0.048932,0.0,0.066667,0008,0.420791,0008_c1s1_0001.jpg,0023,0.319307,0023_c1s1_0001.png,0003,0.297162,0003_c1s1_0003.png,0011,0.288978,0011_c2s1_0006.png,0017,0.282102,0017_c2s1_0006.jpg,0008,0.309418,0008,0011,0.288978,0011,0023,0.247729,0023,0017,0.234726,0017,0019,0.233574,0019
0001_c2s1_0012.png,0001,c2,0.0,0.044603,0.0,0.062500,0008,0.443452,0008_c1s1_0001.jpg,0023,0.396063,0023_c1s1_0001.png,0011,0.366161,0011_c2s1_0006.png,0018,0.326851,0018_c1s1_0002.png,0012,0.315957,0012_c2s1_0007.png,0011,0.366161,0011,0023,0.325296,0023,0008,0.321610,0008,0018,0.290418,0018,0009,0.259977,0009
0001_c2s1_0013.png,0001,c2,0.0,0.044763,0.0,0.058824,0008,0.505758,0008_c1s1_0001.jpg,0011,0.478404,0011_c2s1_0006.png,0023,0.417756,0023_c1s1_0003.png,0018,0.367319,0018_c1s1_0002.png,0005,0.364904,0005_c2s1_0011.jpg,0011,0.478404,0011,0008,0.376115,0008,0023,0.361593,0023,0009,0.349753,0009,0019,0.324938,0019
0001_c2s1_0014.png,0001,c2,0.0,0.051351,0.0,0.062500,0008,0.473929,0008_c1s1_0001.jpg,0011,0.365101,0011_c2s1_0006.png,0017,0.358439,0017_c2s1_0006.jpg,0003,0.340119,0003_c1s1_0003.png,0007,0.333564,0007_c1s1_0005.png,0011,0.365101,0011,0008,0.357381,0008,0017,0.317716,0017,0019,0.286999,0019,0007,0.279129,0007
0001_c2s1_0015.png,0001,c2,0.0,0.043791,0.0,0.062500,0011,0.505224,0011_c2s1_0006.png,0008,0.501763,0008_c1s1_0001.jpg,0020,0.447123,0020_c2s1_0006.jpg,0023,0.442731,0023_c1s1_0003.png,0009,0.415655,0009_c2s1_0010.jpg,0011,0.505224,0011,0009,0.412795,0009,0023,0.391495,0023,0019,0.363771,0019,0008,0.358196,0008
0001_c2s1_0016.png,0001,c2,0.0,0.052247,0.0,0.062500,0008,0.570701,0008_c1s1_0001.jpg,0011,0.475531,0011_c2s1_0006.png,0017,0.471422,0017_c2s1_0006.jpg,0003,0.436035,0003_c1s1_0003.png,0007,0.428573,0007_c1s1_0005.png,0011,0.475531,0011,0008,0.465980,0008,0017,0.432188,0017,0019,0.405323,0019,0007,0.399853,0007
0001_c2s1_0017.png,0001,c2,0.0,0.038913,0.0,0.050000,0008,0.403082,0008_c1s1_0001.jpg,0023,0.396916,0023_c1s1_0001.png,0011,0.361302,0011_c2s1_0006.png,0012,0.319384,0012_c2s1_0007.png,0005,0.279560,0005_c2s1_0011.jpg,0011,0.361302,0011,0023,0.314938,0023,0008,0.282644,0008,0009,0.209398,0009,0013,0.197320,0013
0002_c1s1_0001.png,0002,c1,0.0,0.196787,0.0,0.200000,0011,0.463323,0011_c1s1_0001.png,0023,0.433953,0023_c1s1_0005.png,0022,0.411070,0022_c2s1_0006.jpg,0012,0.365735,0012_c2s1_0006.png,0014,0.322552,0014_c1s1_0001.png,0023,0.373205,0023,0022,0.319354,0022,0014,0.295804,0014,0011,0.267939,0011,0002,0.257994,0002
0002_c1s1_0002.png,0002,c1,0.0,0.391959,0.0,0.500000,0011,0.598319,0011_c1s1_0002.png,0022,0.593213,0022_c2s1_0006.jpg,0002,0.563342,0002_c2s1_0007.png,0014,0.553521,0014_c1s1_0001.png,0005,0.534848,0005_c2s1_0010.jpg,0022,0.545567,0022,0002,0.543525,0002,0014,0.540390,0014,0023,0.500175,0023,0009,0.498730,0009
0002_c1s1_0003.png,0002,c1,0.0,0.130460,0.0,0.090909,0011,0.581671,0011_c2s1_0006.png,0009,0.559153,0009_c2s1_0010.jpg,0020,0.527922,0020_c2s1_0006.jpg,0023,0.507923,0023_c1s1_0005.png,0005,0.506817,0005_c2s1_0011.jpg,0011,0.581671,0011,0009,0.550557,0009,0023,0.476807,0023,0020,0.466182,0020,0022,0.441870,0022
0002_c1s1_0004.png,0002,c1,0.0,0.136121,0.0,0.166667,0011,0.598550,0011_c1s1_0001.png,0012,0.522575,0012_c2s1_0007.png,0023,0.507225,0023_c1s1_0003.png,0005,0.408765,0005_c2s1_0011.jpg,0022,0.395724,0022_c2s1_0006.jpg,0023,0.453383,0023,0011,0.401223,0011,0022,0.298378,0022,0009,0.294260,0009,0014,0.285753,0014
0002_c1s1_0005.png,0002,c1,1.0,0.512840,0.0,0.333333,0002,0.596030,0002_c2s1_0007.png,0012,0.590221,0012_c1s1_0003.png,0014,0.588132,0014_c1s1_0002.png,0022,0.582942,0022_c1s1_0003.png,0009,0.561812,0009_c1s1_0001.png,0014,0.583453,0014,0022,0.579633,0022,0002,0.556205,0002,0012,0.547593,0012,0023,0.527386,0023
0002_c1s1_0006.png,0002,c1,0.0,0.159003,0.0,0.142857,0023,0.466654,0023_c1s1_0003.png,0022,0.418572,0022_c2s1_0006.jpg,0012,0.348141,0012_c2s1_0006.png,0011,0.339681,0011_c1s1_0002.png,0009,0.331392,0009_c1s1_0002.png,0023,0.385605,0023,0022,0.327059,0022,0011,0.295631,0011,0009,0.260654,0009,0021,0.256321,0021
0002_c1s1_0007.png,0002,c1,0.0,0.192743,0.0,0.166667,0022,0.594236,0022_c2s1_0006.jpg,0023,0.561342,0023_c1s1_0004.png,0009,0.514797,0009_c1s1_0002.png,0014,0.507719,0014_c1s1_0001.png,0002,0.497015,0002_c2s1_0009.jpg,0022,0.541232,0022,0023,0.529691,0023,0014,0.479975,0014,0011,0.477340,0011,0009,0.458451,0009
0002_c1s1_0008.png,0002,c1,0.0,0.136192,0.0,0.142857,0023,0.459575,0023_c1s1_0003.png,0022,0.360743,0022_c2s1_0006.jpg,0011,0.344075,0011_c1s1_0001.png,0012,0.339789,0012_c2s1_0006.png,0009,0.310625,0009_c1s1_0001.png,0023,0.364566,0023,0011,0.314939,0011,0022,0.260948,0022,0009,0.233015,0009,0014,0.192280,0014
